Year,Science_Engineering_Field,SE_comparison,Broad_Field,Broad_Field_comparison,Field,Field_comparison,Recipients
1959,Science and engineering,0,Physical sciences and earth sciences,0,Astronomy and astrophysics,1,20
1959,Science and engineering,0,Physical sciences and earth sciences,0,Atmospheric science and meteorology,1,12
1959,Science and engineering,0,Physical sciences and earth sciences,0,Chemistry,1,1054
1959,Science and engineering,0,Physical sciences and earth sciences,0,Geological sciences,1,211
1959,Science and engineering,0,Physical sciences and earth sciences,0,Ocean and marine sciences,1,9
1959,Science and engineering,0,Physical sciences and earth sciences,0,Physics,1,496
1959,Science and engineering,0,Psychology and social sciences,1,Total,0,1672
1959,Science and engineering,0,Psychology and social sciences,0,Anthropology,1,58
1959,Science and engineering,0,Psychology and social sciences,0,Economics,1,327
1959,Science and engineering,0,Psychology and social sciences,0,Other social sciences,1,130
1959,Science and engineering,0,Psychology and social sciences,0,Political science and government,1,191
1959,Science and engineering,0,Psychology and social sciences,0,Psychology,1,786
1959,Science and engineering,0,Psychology and social sciences,0,Sociology,1,180
1959,Total,0,Total,0,All fields,1,9213
1960,Non-science and engineering,1,Total,0,Total,0,3345
1960,Non-science and engineering,0,Education,1,Total,0,1549
1960,Non-science and engineering,0,Education,0,Education administration,1,313
1960,Non-science and engineering,0,Education,0,Education research,1,7
1960,Non-science and engineering,0,Education,0,Other education,1,895
1960,Non-science and engineering,0,Education,0,Teacher education,1,171
1960,Non-science and engineering,0,Education,0,Teaching fields,1,163
1960,Non-science and engineering,0,Humanities and arts,1,Total,0,1555
1960,Non-science and engineering,0,Humanities and arts,0,Foreign languages and literature,1,168
1960,Non-science and engineering,0,Humanities and arts,0,History,1,364
1960,Non-science and engineering,0,Humanities and arts,0,Letters,1,574
1960,Non-science and engineering,0,Humanities and arts,0,Other humanities and arts,1,449
1960,Non-science and engineering,0,Other,1,Total,0,241
1960,Non-science and engineering,0,Other,0,Business management and administration,1,140
1960,Non-science and engineering,0,Other,0,Communication,1,13
1960,Non-science and engineering,0,Other,0,Non-S&E fields not elsewhere classified,1,88
1960,Science and engineering,1,Total,0,Total,0,6388
1960,Science and engineering,0,Engineering,1,Total,0,794
1960,Science and engineering,0,Engineering,0,"Aerospace, aeronautical, and astronautical engineering",1,23
1960,Science and engineering,0,Engineering,0,Chemical engineering,1,181
1960,Science and engineering,0,Engineering,0,Civil engineering,1,62
1960,Science and engineering,0,Engineering,0,Industrial and manufacturing engineering,1,14
1960,Science and engineering,0,Engineering,0,Mechanical engineering,1,98
1960,Science and engineering,0,Engineering,0,Other engineering,1,416
1960,Science and engineering,0,Life sciences,1,Total,0,1729
1960,Science and engineering,0,Life sciences,0,Agricultural sciences and natural resources,1,414
1960,Science and engineering,0,Life sciences,0,Biological and biomedical sciences,1,1246
1960,Science and engineering,0,Life sciences,0,Health sciences,1,69
1960,Science and engineering,0,Mathematics and computer sciences,1,Total,0,291
1960,Science and engineering,0,Mathematics and computer sciences,0,Mathematics and statistics,1,291
1960,Science and engineering,0,Physical sciences and earth sciences,1,Total,0,1861
1960,Science and engineering,0,Physical sciences and earth sciences,0,Astronomy and astrophysics,1,11
1960,Science and engineering,0,Physical sciences and earth sciences,0,Atmospheric science and meteorology,1,23
1960,Science and engineering,0,Physical sciences and earth sciences,0,Chemistry,1,1078
1960,Science and engineering,0,Physical sciences and earth sciences,0,Geological sciences,1,223
1960,Science and engineering,0,Physical sciences and earth sciences,0,Ocean and marine sciences,1,7
1960,Science and engineering,0,Physical sciences and earth sciences,0,Physics,1,519
1960,Science and engineering,0,Psychology and social sciences,1,Total,0,1713
1960,Science and engineering,0,Psychology and social sciences,0,Anthropology,1,69
1960,Science and engineering,0,Psychology and social sciences,0,Economics,1,352
1960,Science and engineering,0,Psychology and social sciences,0,Other social sciences,1,173
1960,Science and engineering,0,Psychology and social sciences,0,Political science and government,1,185
1960,Science and engineering,0,Psychology and social sciences,0,Psychology,1,772
1960,Science and engineering,0,Psychology and social sciences,0,Sociology,1,162
1960,Total,0,Total,0,All fields,1,9733
1961,Non-science and engineering,1,Total,0,Total,0,3541
1961,Non-science and engineering,0,Education,1,Total,0,1679
1961,Non-science and engineering,0,Education,0,Education administration,1,513
1961,Non-science and engineering,0,Education,0,Education research,1,9
1961,Non-science and engineering,0,Education,0,Other education,1,563
1961,Non-science and engineering,0,Education,0,Teacher education,1,358
1961,Non-science and engineering,0,Education,0,Teaching fields,1,236
1961,Non-science and engineering,0,Humanities and arts,1,Total,0,1579
1961,Non-science and engineering,0,Humanities and arts,0,Foreign languages and literature,1,189
1961,Non-science and engineering,0,Humanities and arts,0,History,1,375
1961,Non-science and engineering,0,Humanities and arts,0,Letters,1,568
1961,Non-science and engineering,0,Humanities and arts,0,Other humanities and arts,1,447
1961,Non-science and engineering,0,Other,1,Total,0,283
1961,Non-science and engineering,0,Other,0,Business management and administration,1,148
1961,Non-science and engineering,0,Other,0,Communication,1,13
1961,Non-science and engineering,0,Other,0,Non-S&E fields not elsewhere classified,1,122
1961,Science and engineering,1,Total,0,Total,0,6872
1961,Science and engineering,0,Engineering,1,Total,0,940
1961,Science and engineering,0,Engineering,0,"Aerospace, aeronautical, and astronautical engineering",1,40
1961,Science and engineering,0,Engineering,0,Chemical engineering,1,187
1961,Science and engineering,0,Engineering,0,Civil engineering,1,91
1961,Science and engineering,0,Engineering,0,Industrial and manufacturing engineering,1,21
1961,Science and engineering,0,Engineering,0,Mechanical engineering,1,100
1961,Science and engineering,0,Engineering,0,Other engineering,1,501
1961,Science and engineering,0,Life sciences,1,Total,0,1783
1961,Science and engineering,0,Life sciences,0,Agricultural sciences and natural resources,1,438
1961,Science and engineering,0,Life sciences,0,Biological and biomedical sciences,1,1244
1961,Science and engineering,0,Life sciences,0,Health sciences,1,101
1961,Science and engineering,0,Mathematics and computer sciences,1,Total,0,332
1961,Science and engineering,0,Mathematics and computer sciences,0,Mathematics and statistics,1,332
1961,Science and engineering,0,Physical sciences and earth sciences,1,Total,0,1993
1961,Science and engineering,0,Physical sciences and earth sciences,0,Astronomy and astrophysics,1,16
1961,Science and engineering,0,Physical sciences and earth sciences,0,Atmospheric science and meteorology,1,14
1961,Science and engineering,0,Physical sciences and earth sciences,0,Chemistry,1,1150
1961,Science and engineering,0,Physical sciences and earth sciences,0,Geological sciences,1,220
1961,Science and engineering,0,Physical sciences and earth sciences,0,Ocean and marine sciences,1,12
1961,Science and engineering,0,Physical sciences and earth sciences,0,Physics,1,581
1961,Science and engineering,0,Psychology and social sciences,1,Total,0,1824
1961,Science and engineering,0,Psychology and social sciences,0,Anthropology,1,55
1961,Science and engineering,0,Psychology and social sciences,0,Economics,1,413
1961,Science and engineering,0,Psychology and social sciences,0,Other social sciences,1,151
1961,Science and engineering,0,Psychology and social sciences,0,Political science and government,1,218
1961,Science and engineering,0,Psychology and social sciences,0,Psychology,1,820
1961,Science and engineering,0,Psychology and social sciences,0,Sociology,1,167
1961,Total,0,Total,0,All fields,1,10413
1962,Non-science and engineering,1,Total,0,Total,0,3888
1962,Non-science and engineering,0,Education,1,Total,0,1893
1962,Non-science and engineering,0,Education,0,Education administration,1,607
1962,Non-science and engineering,0,Education,0,Education research,1,332
1962,Non-science and engineering,0,Education,0,Other education,1,280
1962,Non-science and engineering,0,Education,0,Teacher education,1,279
1962,Non-science and engineering,0,Education,0,Teaching fields,1,395
1962,Non-science and engineering,0,Humanities and arts,1,Total,0,1679
1962,Non-science and engineering,0,Humanities and arts,0,Foreign languages and literature,1,196
1962,Non-science and engineering,0,Humanities and arts,0,History,1,366
1962,Non-science and engineering,0,Humanities and arts,0,Letters,1,692
1962,Non-science and engineering,0,Humanities and arts,0,Other humanities and arts,1,425
1962,Non-science and engineering,0,Other,1,Total,0,316
1962,Non-science and engineering,0,Other,0,Business management and administration,1,199
1962,Non-science and engineering,0,Other,0,Communication,1,9
1962,Non-science and engineering,0,Other,0,Non-S&E fields not elsewhere classified,1,108
1962,Science and engineering,1,Total,0,Total,0,7612
1962,Science and engineering,0,Engineering,1,Total,0,1216
1962,Science and engineering,0,Engineering,0,"Aerospace, aeronautical, and astronautical engineering",1,53
1962,Science and engineering,0,Engineering,0,Chemical engineering,1,240
1962,Science and engineering,0,Engineering,0,Civil engineering,1,125
1962,Science and engineering,0,Engineering,0,Industrial and manufacturing engineering,1,21
1962,Science and engineering,0,Engineering,0,Mechanical engineering,1,148
1962,Science and engineering,0,Engineering,0,Other engineering,1,629
1962,Science and engineering,0,Life sciences,1,Total,0,1975
1962,Science and engineering,0,Life sciences,0,Agricultural sciences and natural resources,1,470
1962,Science and engineering,0,Life sciences,0,Biological and biomedical sciences,1,1397
1962,Science and engineering,0,Life sciences,0,Health sciences,1,108
1962,Science and engineering,0,Mathematics and computer sciences,1,Total,0,388
1962,Science and engineering,0,Mathematics and computer sciences,0,Mathematics and statistics,1,388
1962,Science and engineering,0,Physical sciences and earth sciences,1,Total,0,2097
1962,Science and engineering,0,Physical sciences and earth sciences,0,Astronomy and astrophysics,1,28
1962,Science and engineering,0,Physical sciences and earth sciences,0,Atmospheric science and meteorology,1,17
1962,Science and engineering,0,Physical sciences and earth sciences,0,Chemistry,1,1138
1962,Science and engineering,0,Physical sciences and earth sciences,0,Geological sciences,1,216
1962,Science and engineering,0,Physical sciences and earth sciences,0,Ocean and marine sciences,1,16
1962,Science and engineering,0,Physical sciences and earth sciences,0,Physics,1,682
1962,Science and engineering,0,Psychology and social sciences,1,Total,0,1936
1962,Science and engineering,0,Psychology and social sciences,0,Anthropology,1,81
1962,Science and engineering,0,Psychology and social sciences,0,Economics,1,418
1962,Science and engineering,0,Psychology and social sciences,0,Other social sciences,1,174
1962,Science and engineering,0,Psychology and social sciences,0,Political science and government,1,223
1962,Science and engineering,0,Psychology and social sciences,0,Psychology,1,856
1962,Science and engineering,0,Psychology and social sciences,0,Sociology,1,184
1962,Total,0,Total,0,All fields,1,11500
1963,Non-science and engineering,1,Total,0,Total,0,4306
1963,Non-science and engineering,0,Education,1,Total,0,2137
1963,Non-science and engineering,0,Education,0,Education administration,1,716
1963,Non-science and engineering,0,Education,0,Education research,1,614
1963,Non-science and engineering,0,Education,0,Other education,1,23
1963,Non-science and engineering,0,Education,0,Teacher education,1,206
1963,Non-science and engineering,0,Education,0,Teaching fields,1,578
1963,Non-science and engineering,0,Humanities and arts,1,Total,0,1797
1963,Non-science and engineering,0,Humanities and arts,0,Foreign languages and literature,1,206
1963,Non-science and engineering,0,Humanities and arts,0,History,1,389
1963,Non-science and engineering,0,Humanities and arts,0,Letters,1,741
1963,Non-science and engineering,0,Humanities and arts,0,Other humanities and arts,1,461
1963,Non-science and engineering,0,Other,1,Total,0,372
1963,Non-science and engineering,0,Other,0,Business management and administration,1,224
1963,Non-science and engineering,0,Other,0,Communication,1,13
1963,Non-science and engineering,0,Other,0,Non-S&E fields not elsewhere classified,1,135
1963,Science and engineering,1,Total,0,Total,0,8422
1963,Science and engineering,0,Engineering,1,Total,0,1357
1963,Science and engineering,0,Engineering,0,"Aerospace, aeronautical, and astronautical engineering",1,66
1963,Science and engineering,0,Engineering,0,Chemical engineering,1,243
1963,Science and engineering,0,Engineering,0,Civil engineering,1,127
1963,Science and engineering,0,Engineering,0,Industrial and manufacturing engineering,1,22
1963,Science and engineering,0,Engineering,0,Mechanical engineering,1,154
1963,Science and engineering,0,Engineering,0,Other engineering,1,745
1963,Science and engineering,0,Life sciences,1,Total,0,2083
1963,Science and engineering,0,Life sciences,0,Agricultural sciences and natural resources,1,466
1963,Science and engineering,0,Life sciences,0,Biological and biomedical sciences,1,1510
1963,Science and engineering,0,Life sciences,0,Health sciences,1,107
1963,Science and engineering,0,Mathematics and computer sciences,1,Total,0,483
1963,Science and engineering,0,Mathematics and computer sciences,0,Mathematics and statistics,1,483
1963,Science and engineering,0,Physical sciences and earth sciences,1,Total,0,2427
1963,Science and engineering,0,Physical sciences and earth sciences,0,Astronomy and astrophysics,1,34
1963,Science and engineering,0,Physical sciences and earth sciences,0,Atmospheric science and meteorology,1,21
1963,Science and engineering,0,Physical sciences and earth sciences,0,Chemistry,1,1288
1963,Science and engineering,0,Physical sciences and earth sciences,0,Geological sciences,1,283
1963,Science and engineering,0,Physical sciences and earth sciences,0,Ocean and marine sciences,1,18
1963,Science and engineering,0,Physical sciences and earth sciences,0,Physics,1,783
1963,Science and engineering,0,Psychology and social sciences,1,Total,0,2072
1963,Science and engineering,0,Psychology and social sciences,0,Anthropology,1,82
1963,Science and engineering,0,Psychology and social sciences,0,Economics,1,450
1963,Science and engineering,0,Psychology and social sciences,0,Other social sciences,1,208
1963,Science and engineering,0,Psychology and social sciences,0,Political science and government,1,231
1963,Science and engineering,0,Psychology and social sciences,0,Psychology,1,890
1963,Science and engineering,0,Psychology and social sciences,0,Sociology,1,211
1963,Total,0,Total,0,All fields,1,12728
1964,Non-science and engineering,1,Total,0,Total,0,4863
1964,Non-science and engineering,0,Education,1,Total,0,2351
1964,Non-science and engineering,0,Education,0,Education administration,1,701
1964,Non-science and engineering,0,Education,0,Education research,1,774
1964,Non-science and engineering,0,Education,0,Other education,1,35
1964,Non-science and engineering,0,Education,0,Teacher education,1,277
1964,Non-science and engineering,0,Education,0,Teaching fields,1,564
1964,Non-science and engineering,0,Humanities and arts,1,Total,0,2105
1964,Non-science and engineering,0,Humanities and arts,0,Foreign languages and literature,1,271
1964,Non-science and engineering,0,Humanities and arts,0,History,1,530
1964,Non-science and engineering,0,Humanities and arts,0,Letters,1,795
1964,Non-science and engineering,0,Humanities and arts,0,Other humanities and arts,1,509
1964,Non-science and engineering,0,Other,1,Total,0,407
1964,Non-science and engineering,0,Other,0,Business management and administration,1,246
1964,Non-science and engineering,0,Other,0,Communication,1,21
1964,Non-science and engineering,0,Other,0,Non-S&E fields not elsewhere classified,1,140
1964,Science and engineering,1,Total,0,Total,0,9462
1964,Science and engineering,0,Engineering,1,Total,0,1664
1964,Science and engineering,0,Engineering,0,"Aerospace, aeronautical, and astronautical engineering",1,70
1964,Science and engineering,0,Engineering,0,Chemical engineering,1,276
1964,Science and engineering,0,Engineering,0,Civil engineering,1,193
1964,Science and engineering,0,Engineering,0,Industrial and manufacturing engineering,1,28
1964,Science and engineering,0,Engineering,0,Mechanical engineering,1,183
1964,Science and engineering,0,Engineering,0,Other engineering,1,914
1964,Science and engineering,0,Life sciences,1,Total,0,2361
1964,Science and engineering,0,Life sciences,0,Agricultural sciences and natural resources,1,517
1964,Science and engineering,0,Life sciences,0,Biological and biomedical sciences,1,1702
1964,Science and engineering,0,Life sciences,0,Health sciences,1,142
1964,Science and engineering,0,Mathematics and computer sciences,1,Total,0,588
1964,Science and engineering,0,Mathematics and computer sciences,0,Mathematics and statistics,1,588
1964,Science and engineering,0,Physical sciences and earth sciences,1,Total,0,2527
1964,Science and engineering,0,Physical sciences and earth sciences,0,Astronomy and astrophysics,1,45
1964,Science and engineering,0,Physical sciences and earth sciences,0,Atmospheric science and meteorology,1,32
1964,Science and engineering,0,Physical sciences and earth sciences,0,Chemistry,1,1351
1964,Science and engineering,0,Physical sciences and earth sciences,0,Geological sciences,1,256
1964,Science and engineering,0,Physical sciences and earth sciences,0,Ocean and marine sciences,1,22
1964,Science and engineering,0,Physical sciences and earth sciences,0,Physics,1,821
1964,Science and engineering,0,Psychology and social sciences,1,Total,0,2322
1964,Science and engineering,0,Psychology and social sciences,0,Anthropology,1,83
1964,Science and engineering,0,Psychology and social sciences,0,Economics,1,527
1964,Science and engineering,0,Psychology and social sciences,0,Other social sciences,1,234
1964,Science and engineering,0,Psychology and social sciences,0,Political science and government,1,264
1964,Science and engineering,0,Psychology and social sciences,0,Psychology,1,1013
1964,Science and engineering,0,Psychology and social sciences,0,Sociology,1,201
1964,Total,0,Total,0,All fields,1,14325
1965,Non-science and engineering,1,Total,0,Total,0,5634
1965,Non-science and engineering,0,Education,1,Total,0,2736
1965,Non-science and engineering,0,Education,0,Education administration,1,837
1965,Non-science and engineering,0,Education,0,Education research,1,922
1965,Non-science and engineering,0,Education,0,Other education,1,23
1965,Non-science and engineering,0,Education,0,Teacher education,1,325
1965,Non-science and engineering,0,Education,0,Teaching fields,1,629
1965,Non-science and engineering,0,Humanities and arts,1,Total,0,2459
1965,Non-science and engineering,0,Humanities and arts,0,Foreign languages and literature,1,321
1965,Non-science and engineering,0,Humanities and arts,0,History,1,607
1965,Non-science and engineering,0,Humanities and arts,0,Letters,1,996
1965,Non-science and engineering,0,Humanities and arts,0,Other humanities and arts,1,535
1965,Non-science and engineering,0,Other,1,Total,0,439
1965,Non-science and engineering,0,Other,0,Business management and administration,1,287
1965,Non-science and engineering,0,Other,0,Communication,1,24
1965,Non-science and engineering,0,Other,0,Non-S&E fields not elsewhere classified,1,128
1965,Science and engineering,1,Total,0,Total,0,10706
1965,Science and engineering,0,Engineering,1,Total,0,2074
1965,Science and engineering,0,Engineering,0,"Aerospace, aeronautical, and astronautical engineering",1,82
1965,Science and engineering,0,Engineering,0,Chemical engineering,1,369
1965,Science and engineering,0,Engineering,0,Civil engineering,1,209
1965,Science and engineering,0,Engineering,0,Industrial and manufacturing engineering,1,56
1965,Science and engineering,0,Engineering,0,Mechanical engineering,1,249
1965,Science and engineering,0,Engineering,0,Other engineering,1,1109
1965,Science and engineering,0,Life sciences,1,Total,0,2684
1965,Science and engineering,0,Life sciences,0,Agricultural sciences and natural resources,1,576
1965,Science and engineering,0,Life sciences,0,Biological and biomedical sciences,1,1963
1965,Science and engineering,0,Life sciences,0,Health sciences,1,145
1965,Science and engineering,0,Mathematics and computer sciences,1,Total,0,685
1965,Science and engineering,0,Mathematics and computer sciences,0,Mathematics and statistics,1,685
1965,Science and engineering,0,Physical sciences and earth sciences,1,Total,0,2865
1965,Science and engineering,0,Physical sciences and earth sciences,0,Astronomy and astrophysics,1,64
1965,Science and engineering,0,Physical sciences and earth sciences,0,Atmospheric science and meteorology,1,34
1965,Science and engineering,0,Physical sciences and earth sciences,0,Chemistry,1,1444
1965,Science and engineering,0,Physical sciences and earth sciences,0,Geological sciences,1,308
1965,Science and engineering,0,Physical sciences and earth sciences,0,Ocean and marine sciences,1,33
1965,Science and engineering,0,Physical sciences and earth sciences,0,Physics,1,982
1965,Science and engineering,0,Psychology and social sciences,1,Total,0,2398
1965,Science and engineering,0,Psychology and social sciences,0,Anthropology,1,82
1965,Science and engineering,0,Psychology and social sciences,0,Economics,1,560
1965,Science and engineering,0,Psychology and social sciences,0,Other social sciences,1,237
1965,Science and engineering,0,Psychology and social sciences,0,Political science and government,1,326
1965,Science and engineering,0,Psychology and social sciences,0,Psychology,1,954
1965,Science and engineering,0,Psychology and social sciences,0,Sociology,1,239
1965,Total,0,Total,0,All fields,1,16340
1966,Non-science and engineering,1,Total,0,Total,0,6217
1966,Non-science and engineering,0,Education,1,Total,0,3040
1966,Non-science and engineering,0,Education,0,Education administration,1,915
1966,Non-science and engineering,0,Education,0,Education research,1,1041
1966,Non-science and engineering,0,Education,0,Other education,1,31
1966,Non-science and engineering,0,Education,0,Teacher education,1,362
1966,Non-science and engineering,0,Education,0,Teaching fields,1,691
1966,Non-science and engineering,0,Humanities and arts,1,Total,0,2612
1966,Non-science and engineering,0,Humanities and arts,0,Foreign languages and literature,1,380
1966,Non-science and engineering,0,Humanities and arts,0,History,1,645
1966,Non-science and engineering,0,Humanities and arts,0,Letters,1,982
1966,Non-science and engineering,0,Humanities and arts,0,Other humanities and arts,1,605
1966,Non-science and engineering,0,Other,1,Total,0,565
1966,Non-science and engineering,0,Other,0,Business management and administration,1,372
1966,Non-science and engineering,0,Other,0,Communication,1,17
1966,Non-science and engineering,0,Other,0,Non-S&E fields not elsewhere classified,1,176
1966,Science and engineering,1,Total,0,Total,0,11732
1966,Science and engineering,0,Engineering,1,Total,0,2301
1966,Science and engineering,0,Engineering,0,"Aerospace, aeronautical, and astronautical engineering",1,109
1966,Science and engineering,0,Engineering,0,Chemical engineering,1,367
1966,Science and engineering,0,Engineering,0,Civil engineering,1,237
1966,Science and engineering,0,Engineering,0,Industrial and manufacturing engineering,1,46
1966,Science and engineering,0,Engineering,0,Mechanical engineering,1,271
1966,Science and engineering,0,Engineering,0,Other engineering,1,1271
1966,Science and engineering,0,Life sciences,1,Total,0,2885
1966,Science and engineering,0,Life sciences,0,Agricultural sciences and natural resources,1,576
1966,Science and engineering,0,Life sciences,0,Biological and biomedical sciences,1,2135
1966,Science and engineering,0,Life sciences,0,Health sciences,1,174
1966,Science and engineering,0,Mathematics and computer sciences,1,Total,0,769
1966,Science and engineering,0,Mathematics and computer sciences,0,Mathematics and statistics,1,769
1966,Science and engineering,0,Physical sciences and earth sciences,1,Total,0,3059
1966,Science and engineering,0,Physical sciences and earth sciences,0,Astronomy and astrophysics,1,66
1966,Science and engineering,0,Physical sciences and earth sciences,0,Atmospheric science and meteorology,1,34
1966,Science and engineering,0,Physical sciences and earth sciences,0,Chemistry,1,1594
1966,Science and engineering,0,Physical sciences and earth sciences,0,Geological sciences,1,325
1966,Science and engineering,0,Physical sciences and earth sciences,0,Ocean and marine sciences,1,45
1966,Science and engineering,0,Physical sciences and earth sciences,0,Physics,1,995
1966,Science and engineering,0,Psychology and social sciences,1,Total,0,2718
1966,Science and engineering,0,Psychology and social sciences,0,Anthropology,1,97
1966,Science and engineering,0,Psychology and social sciences,0,Economics,1,627
1966,Science and engineering,0,Psychology and social sciences,0,Other social sciences,1,266
1966,Science and engineering,0,Psychology and social sciences,0,Political science and government,1,329
1966,Science and engineering,0,Psychology and social sciences,0,Psychology,1,1139
1966,Science and engineering,0,Psychology and social sciences,0,Sociology,1,260
1966,Total,0,Total,0,All fields,1,17949
1967,Non-science and engineering,1,Total,0,Total,0,7129
1967,Non-science and engineering,0,Education,1,Total,0,3481
1967,Non-science and engineering,0,Education,0,Education administration,1,990
1967,Non-science and engineering,0,Education,0,Education research,1,1201
1967,Non-science and engineering,0,Education,0,Other education,1,55
1967,Non-science and engineering,0,Education,0,Teacher education,1,418
1967,Non-science and engineering,0,Education,0,Teaching fields,1,817
1967,Non-science and engineering,0,Humanities and arts,1,Total,0,3014
1967,Non-science and engineering,0,Humanities and arts,0,Foreign languages and literature,1,470
1967,Non-science and engineering,0,Humanities and arts,0,History,1,733
1967,Non-science and engineering,0,Humanities and arts,0,Letters,1,1123
1967,Non-science and engineering,0,Humanities and arts,0,Other humanities and arts,1,688
1967,Non-science and engineering,0,Other,1,Total,0,634
1967,Non-science and engineering,0,Other,0,Business management and administration,1,425
1967,Non-science and engineering,0,Other,0,Communication,1,34
1967,Non-science and engineering,0,Other,0,Non-S&E fields not elsewhere classified,1,175
1967,Science and engineering,1,Total,0,Total,0,13274
1967,Science and engineering,0,Engineering,1,Total,0,2604
1967,Science and engineering,0,Engineering,0,"Aerospace, aeronautical, and astronautical engineering",1,142
1967,Science and engineering,0,Engineering,0,Chemical engineering,1,327
1967,Science and engineering,0,Engineering,0,Civil engineering,1,270
